HN,คำนำหน้า,ชื่อ,สกุล,เลขบัตรประชาชน,วันเดือนปีเกิด,อายุ,ระดับการศึกษา,เพศ,บ้านเลขที่,หมู่,ตำบล,อำเภอ,จังหวัด,ที่อยู่รวม,ชื่อผู้ดูแล,เบอร์โทรศัพท์,มีโรคประจำตัว,รายละเอียดโรคประจำตัว,คะแนน MMSE,ผล MMSE,คะแนน TGDS,ผล TGDS,คะแนน 8Q,ระดับความเสี่ยงฆ่าตัวตาย,ผลการได้ยินหูซ้าย,รายละเอียดหูซ้าย,ผลการได้ยินหูขวา,รายละเอียดหูขวา,การมองเห็นตาขวา (Snellen),การมองเห็นตาซ้าย (Snellen),ภาวะกลั้นปัสสาวะ,ปัญหาการนอน,วันที่ประเมิน
HN000048,นาย,พิมพ์ชนก,ทรัพย์เพิ่มพูน,9407631791467.00,1962-10-17,63,ไม่ได้เรียนหนังสือ,ชาย,89,12,ต.ริมกก,อ.เมืองเชียงราย,จ.เชียงราย,บ้านเลขที่ 89 หมู่ 12 ต.ริมกก อ.เมืองเชียงราย จ.เชียงราย,ไม่มีผู้ดูแล,964770820,มี,ไตเรื้อรัง,24,ปกติ,2,ปกติ,4,ต่ำ,ปกติ,,ปกติ,,6/9,6/12,ไม่มี,ส่งต่อแพทย์,2025-08-16
HN000049,นางสาว,ณัฐพล,ศรีภูมิ,3129632229567.00,1962-04-14,63,ประถมศึกษา,หญิง,65,2,ต.สำราญ,อ.เมืองขอนแก่น,จ.ขอนแก่น,บ้านเลขที่ 65 หมู่ 2 ต.สำราญ อ.เมืองขอนแก่น จ.ขอนแก่น,นงนุช เพ็งดี,879467464,มี,ความดันโลหิตสูง,28,ปกติ,1,ปกติ,3,ต่ำ,ปกติ,,ปกติ,,6/6,6/9,ไม่มี,ไม่มี,2025-04-22
HN000050,นางสาว,วรัญญา,ศรีนวล,1073942857946.00,1963-04-26,62,ไม่ได้เรียนหนังสือ,หญิง,91,9,ต.ริมกก,อ.เมืองเชียงราย,จ.เชียงราย,บ้านเลขที่ 91 หมู่ 9 ต.ริมกก อ.เมืองเชียงราย จ.เชียงราย,จารุวรรณ บุญเรือง,856225568,มี,ไตเรื้อรัง,28,ปกติ,4,ปกติ,4,ต่ำ,ผิดปกติ,หูตึงรุนแรง,ปกติ,,6/9,6/12,ไม่มี,ไม่มี,2025-12-11
HN000051,นาง,รุ้งตะวัน,ศรีภูมิ,9600524064475.00,1941-04-16,84,สูงกว่าประถมศึกษา,หญิง,150,5,ต.แสนสุข,อ.เมืองชลบุรี,จ.ชลบุรี,บ้านเลขที่ 150 หมู่ 5 ต.แสนสุข อ.เมืองชลบุรี จ.ชลบุรี,สมโภชน์ วัฒนกิจ,602084241,มี,โรคหัวใจ,23,สงสัยผิดปกติ,10,เสี่ยงซึมเศร้า,1,ต่ำ,ผิดปกติ,หูตึงปานกลาง,ปกติ,,6/24,6/24,มี,ไม่มี,2025-11-04
HN000052,นาง,สายฝน,จันทร์เพ็ญ,6081483471208.00,1947-02-26,78,ประถมศึกษา,หญิง,191,1,ต.คูคต,อ.ลำลูกกา,จ.ปทุมธานี,บ้านเลขที่ 191 หมู่ 1 ต.คูคต อ.ลำลูกกา จ.ปทุมธานี,ไม่มีผู้ดูแล,857388543,มี,หอบหืด,25,ปกติ,0,ปกติ,4,ต่ำ,ปกติ,,ปกติ,,6/12,6/9,มี,ไม่มี,2025-01-20
HN000053,นาย,ธนพล,บุญช่วย,1086586866999.00,1941-03-19,84,ประถมศึกษา,ชาย,75,5,ต.หัวหมาก,อ.บางกะปิ,จ.กรุงเทพมหานคร,บ้านเลขที่ 75 หมู่ 5 ต.หัวหมาก อ.บางกะปิ จ.กรุงเทพมหานคร,ไม่มีผู้ดูแล,659807190,มี,เบาหวาน,22,สงสัยผิดปกติ,6,ปกติ,3,ต่ำ,ปกติ,,ผิดปกติ,ติดเชื้อในหู,6/24,6/18,ไม่มี,ไม่มี,2025-07-21
HN000054,นาย,อนันต์,สิงหนาท,8397911592051.00,1940-04-25,85,ประถมศึกษา,ชาย,149,1,ต.เวียง,อ.เมืองเชียงราย,จ.เชียงราย,บ้านเลขที่ 149 หมู่ 1 ต.เวียง อ.เมืองเชียงราย จ.เชียงราย,จิตรา อินทรา,905726348,มี,หอบหืด,21,สงสัยผิดปกติ,15,เสี่ยงซึมเศร้า,6,ปานกลาง,ผิดปกติ,หูตึงปานกลาง,ผิดปกติ,ติดเชื้อในหู,6/12,6/18,ไม่มี,ส่งต่อแพทย์,2025-03-19
HN000055,นาย,ขวัญใจ,บุญมา,1746691964720.00,1965-04-20,60,ประถมศึกษา,ชาย,43,8,ต.ท่าวังทอง,อ.เมืองพะเยา,จ.พะเยา,บ้านเลขที่ 43 หมู่ 8 ต.ท่าวังทอง อ.เมืองพะเยา จ.พะเยา,ทศพล วัฒนกิจ,874841464,มี,ข้อเข่าเสื่อม,25,ปกติ,7,เสี่ยงซึมเศร้า,8,ปานกลาง,ปกติ,,ปกติ,,6/9,6/6,ไม่มี,ส่งต่อแพทย์,2025-02-01
HN000056,นางสาว,ชยพล,รัตนสกุล,9470597267357.00,1963-10-28,62,ประถมศึกษา,หญิง,39,15,ต.เวียง,อ.เมืองเชียงราย,จ.เชียงราย,บ้านเลขที่ 39 หมู่ 15 ต.เวียง อ.เมืองเชียงราย จ.เชียงราย,ทศพล ปัญญา,683389210,มี,ความดันโลหิตสูง,28,ปกติ,3,ปกติ,2,ต่ำ,ปกติ,,ปกติ,,6/6,6/6,ไม่มี,ส่งต่อแพทย์,2025-08-18
HN000057,นาง,ชยพล,ศรีภูมิ,8854795375179.00,1946-05-03,79,สูงกว่าประถมศึกษา,หญิง,113,9,ต.หัวหมาก,อ.บางกะปิ,จ.กรุงเทพมหานคร,บ้านเลขที่ 113 หมู่ 9 ต.หัวหมาก อ.บางกะปิ จ.กรุงเทพมหานคร,ไม่มีผู้ดูแล,808279512,ไม่มี,ไม่มี,22,สงสัยผิดปกติ,1,ปกติ,2,ต่ำ,ผิดปกติ,หูตึงรุนแรง,ผิดปกติ,หูตึงปานกลาง,6/9,6/12,มี,ส่งต่อแพทย์,2025-08-09
HN000058,นางสาว,วรพล,กิตติเดช,6797257166626.00,1961-09-26,64,ประถมศึกษา,หญิง,30,13,ต.รังสิต,อ.ธัญบุรี,จ.ปทุมธานี,บ้านเลขที่ 30 หมู่ 13 ต.รังสิต อ.ธัญบุรี จ.ปทุมธานี,จารุวรรณ บุญเรือง,836891880,มี,โรคหัวใจ,29,ปกติ,6,ปกติ,0,ไม่มีความเสี่ยง,ผิดปกติ,ติดเชื้อในหู,ปกติ,,6/12,6/12,ไม่มี,ไม่มี,2025-10-05
HN000059,นาง,รุ้งตะวัน,วัฒนานนท์,9091290379221.00,1932-05-24,93,ประถมศึกษา,หญิง,130,12,ต.สุเทพ,อ.เมืองเชียงใหม่,จ.เชียงใหม่,บ้านเลขที่ 130 หมู่ 12 ต.สุเทพ อ.เมืองเชียงใหม่ จ.เชียงใหม่,สมพร วัฒนกิจ,895294700,ไม่มี,ไม่มี,24,ปกติ,10,เสี่ยงซึมเศร้า,2,ต่ำ,ผิดปกติ,ได้ยินไม่ชัด,ปกติ,,6/18,6/18,ไม่มี,ไม่มี,2025-08-21
HN000060,นาย,สมปอง,บุญมา,2623264497413.00,1940-07-25,85,สูงกว่าประถมศึกษา,ชาย,178,9,ต.ริมกก,อ.เมืองเชียงราย,จ.เชียงราย,บ้านเลขที่ 178 หมู่ 9 ต.ริมกก อ.เมืองเชียงราย จ.เชียงราย,ไม่มีผู้ดูแล,885180313,มี,ความดันโลหิตสูง,19,สงสัยผิดปกติ,10,เสี่ยงซึมเศร้า,3,ต่ำ,ปกติ,,ผิดปกติ,หูตึงปานกลาง,6/12,6/12,มี,ไม่มี,2025-07-07
HN000061,นาย,ภูริ,อินทรสุข,6003686255871.00,1941-12-03,84,ประถมศึกษา,ชาย,106,6,ต.เวียง,อ.เมืองเชียงราย,จ.เชียงราย,บ้านเลขที่ 106 หมู่ 6 ต.เวียง อ.เมืองเชียงราย จ.เชียงราย,ไม่มีผู้ดูแล,864196585,มี,หอบหืด,19,สงสัยผิดปกติ,4,ปกติ,0,ไม่มีความเสี่ยง,ผิดปกติ,หูตึงเล็กน้อย,ผิดปกติ,หูตึงรุนแรง,6/12,6/24,มี,ไม่มี,2025-09-08
HN000062,นาย,อนันต์,สุขเกษม,5420465818941.00,1943-05-13,82,ประถมศึกษา,ชาย,40,11,ต.แสนสุข,อ.เมืองชลบุรี,จ.ชลบุรี,บ้านเลขที่ 40 หมู่ 11 ต.แสนสุข อ.เมืองชลบุรี จ.ชลบุรี,ไม่มีผู้ดูแล,858187179,มี,ข้อเข่าเสื่อม,25,ปกติ,13,เสี่ยงซึมเศร้า,7,ปานกลาง,ผิดปกติ,หูตึงรุนแรง,ผิดปกติ,หูตึงรุนแรง,6/24,6/24,ไม่มี,ไม่มี,2025-05-24
HN000063,นาง,พิมพ์ชนก,คำแหง,1633074267191.00,1945-05-21,80,สูงกว่าประถมศึกษา,หญิง,123,9,ต.หนองปรือ,อ.บางละมุง,จ.ชลบุรี,บ้านเลขที่ 123 หมู่ 9 ต.หนองปรือ อ.บางละมุง จ.ชลบุรี,ไม่มีผู้ดูแล,848413032,มี,เบาหวาน,18,สงสัยผิดปกติ,8,เสี่ยงซึมเศร้า,10,ปานกลาง,ผิดปกติ,หูตึงปานกลาง,ปกติ,,6/18,6/24,ไม่มี,ไม่มี,2025-09-14
HN000064,นาง,สมชาย,วัฒนานนท์,4145420152510.00,1946-09-13,79,ประถมศึกษา,หญิง,170,8,ต.หนองปรือ,อ.บางละมุง,จ.ชลบุรี,บ้านเลขที่ 170 หมู่ 8 ต.หนองปรือ อ.บางละมุง จ.ชลบุรี,ไม่มีผู้ดูแล,837053189,ไม่มี,ไม่มี,27,ปกติ,8,เสี่ยงซึมเศร้า,5,ต่ำ,ปกติ,,ปกติ,,6/12,6/18,ไม่มี,ส่งต่อแพทย์,2025-11-01
HN000065,นาง,ปรียา,สิงหนาท,8379293376737.00,1946-06-08,79,สูงกว่าประถมศึกษา,หญิง,134,13,ต.แม่กา,อ.เมืองพะเยา,จ.พะเยา,บ้านเลขที่ 134 หมู่ 13 ต.แม่กา อ.เมืองพะเยา จ.พะเยา,สมโภชน์ คำแปง,936602594,ไม่มี,ไม่มี,23,สงสัยผิดปกติ,3,ปกติ,3,ต่ำ,ปกติ,,ผิดปกติ,หูตึงปานกลาง,6/9,6/12,ไม่มี,ไม่มี,2025-09-26
HN000066,นาย,พิมพ์ชนก,กิติวงศ์,4720618674665.00,1940-05-13,85,ประถมศึกษา,ชาย,166,4,ต.สำราญ,อ.เมืองขอนแก่น,จ.ขอนแก่น,บ้านเลขที่ 166 หมู่ 4 ต.สำราญ อ.เมืองขอนแก่น จ.ขอนแก่น,จิตรา แสงทอง,669680962,มี,โรคหัวใจ,18,สงสัยผิดปกติ,10,เสี่ยงซึมเศร้า,4,ต่ำ,ผิดปกติ,หูตึงเล็กน้อย,ปกติ,,6/12,6/18,ไม่มี,ไม่มี,2025-05-14
HN000067,นาง,สมศรี,ต้นงิ้ว,4563442451390.00,1943-03-21,82,สูงกว่าประถมศึกษา,หญิง,2,14,ต.รังสิต,อ.ธัญบุรี,จ.ปทุมธานี,บ้านเลขที่ 2 หมู่ 14 ต.รังสิต อ.ธัญบุรี จ.ปทุมธานี,จิตรา คำแปง,696047470,มี,ความดันโลหิตสูง,25,ปกติ,8,เสี่ยงซึมเศร้า,3,ต่ำ,ผิดปกติ,หูตึงรุนแรง,ผิดปกติ,ติดเชื้อในหู,6/12,6/12,ไม่มี,ไม่มี,2025-08-06
